"b_nr","generalite","autor","titel","publikation","band","jahr","seiten","ort","ae","zu_ae","cil","sonstigeCorpora","bearbeiter","datum"
"B000001","N","Abásolo, J.A.","Recientes hallazgos de lápidas romanas en la provincia de Burgos.","BSEAA","50","1984","195-216","","1984, 0560; 1984, 0561; 1984, 0562; 1984, 0563; 1984, 0564; 1984, 0565; 1984, 0566; 1984, 0567; 1984, 0568; 1984, 0569; 1984, 0570; 1984, 0571; 1984, 0572; 1984, 0573; 1984, 0574; 1984, 0575; 1984, 0576; 1984, 0577; 1984, 0578; 1984, 0579.","","","","Feraudi","2014-05-22"
"B000002","J","Ben Abdallah, Z. - Ladjimi Sebaï, L.","Index onomastique des inscriptions latines de la Tunisie.","","","1983","90 S.","Paris","1983, 0945.","","","","Gräf","2007-12-17"
"B000003","N","Acuña Castroviejo, F. - Casal Gracía, R.","La estela funeraria de Antes. A Coruña.","Brigantium","2","1981","273-280","","1983, 0589.","","","","Admin","2002-04-26"
"B000004","N","Adamik, T.","Quisquis eris post me (CE 578).","AErt","110","1983","3-9","","1984, 0722.","","03, 04185.","ILCV 0296; ILCV (Suppl.) 0296; CLE 0578; CLEPann 025; RIU 0080.","Gräf","2017-03-09"
"B000005","N","Adams, J.N.","Four notes on the latin sexual language.","LCM","7","1982","86-88. 150","","1984, 0205.","","04, 08898.","","Feraudi","2018-07-12"
"B000006","N","Aguarod Otal, M.C. - Lostal Pros, J.","La vía romana de las Cinco Villas.","Caesaraugusta","55/56","1982","167-218","","1984, 0583; 1984, 0584; 1984, 0585.","","","","Feraudi","2004-10-05"
"B000007","J","Aichinger, A.","Grenzziehung durch kaiserliche Sonderbeauftragte in den römischen Provinzen.","ZPE","48","1982","193-204","","1983, 0003; 1982, 0023.","","","","Hildebrandt","2004-10-19"
"B000008","J","Alba Musca, D.","Le denominazioni del principe nei documenti epigrafici romani.","","","1979","220","Bari","1982, 0005.","","","","Hildebrandt","2004-10-19"
"B000009","N","Albertos Firmat, M.L.","Una estela funeraria en Cimanes de la Vega.","BSAA","50","1984","216-220","","1984, 0557.","","","","Admin","2002-04-26"
"B000010","J","Albertos Firmat, M.L.","Onomastique personelle indigène de la Péninsule Ibérique sous la domination romaine.","In: ANRW","2, 29, 2","1983","853-892","Berlin - New York","1983, 0460.","","","","Feraudi","2004-11-17"
"B000011","N","Albertos Firmat, M.L.","Una inscripción romana en Piña de Esgueva (Valladolid).","BSEAA","48","1982","151-153","","1982, 0581.","","","","Grimmig","2005-01-19"
